OFFENCE_YEAR,DIVISION,TICKET_TYPE,OFFENCE_CATEGORY,AGE_GROUP,HOOD_158,NEIGHBOURHOOD_158,TICKET_COUNT,ObjectId
2015,D41,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Youth,121,Oakridge,4,1
2020,D42,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,148,East L'Amoreaux,5,2
2020,D13,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,107,Oakwood Village,304,3
2021,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,160,Mimico-Queensway,23,4
2014,D42,Prov Offence Summons Part Iii Form 104                                         ,Aggressive Driving,Adult,116,Steeles,6,5
2021,D32,Prov Offence Notice - Part I (Pot)                                             ,Distracted Driving,Adult,40,St.Andrew-Windfields,3,6
2014,D32,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,27,York University Heights,25,7
2018,D53,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,41,Bridle Path-Sunnybrook-York Mills,33,8
2020,D22,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,8,Humber Heights-Westmount,1,9
2016,D42,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,126,Dorset Park,1,10
2017,D53,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,167,Church-Wellesley,16,11
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,31,Yorkdale-Glen Park,83,12
2017,D33,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Youth,149,Parkwoods-O'Connor Hills,1,13
2021,D41,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,126,Dorset Park,11,14
2016,D52,Prov Offence Notice - Part I (Pot)                                             ,All CAIA,Adult,165,Harbourfront-CityPlace,139,15
2015,D14,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,162,West Queen West,39,16
2017,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Adult,119,Wexford/Maryvale,660,17
2015,D22,Prov Offence Summons Part Iii Form 104                                         ,Other HTA,Adult,NSA,NSA,52,18
2017,D32,Prov Offence Notice - Part I (Pot)                                             ,Aggressive Driving,Adult,27,York University Heights,35,19
2019,D12,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,115,Mount Dennis,1,20
2021,D11,Prov Offence Summons Part Iii Form 104                                         ,Speeding,Adult,85,South Parkdale,29,21
2019,D22,Prov Offence Notice - Part I (Pot)                                             ,Speeding,Youth,9,Edenbridge-Humber Valley,1,22
2019,D41,Prov Offence Notice - Part I (Pot)                                             ,Other HTA,Youth,119,Wexford/Maryvale,10,23
2014,D32,Prov Offence Summons Part Iii Form 104                                         ,All CAIA,Adult,34,Bathurst Manor,12,24
